諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
16710,450,東,,東,整體,東,833,東,德紅,,,,,,,,,,德紅,德紅,德,紅,東,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,,1,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,dung1,d,ung,1,dong1,d,ong,1,上平07左,1,1,1,,2,德紅,德紅,1,2加2,,都公,,德紅,,,德紅：春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,聲旁,次級聲旁,暫擬爲東重聲旁一類而童聲旁在另一類（雖然童爲⿳辛東土，但可能聲旁東是先秦中後期讀音有所演變後新加的）；熏的上方似基於東而內加四點，存疑,東,東
16722,200,東,東,艸,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,菄,菄,東風菜義見上注俗加艹,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,2,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,2,1,2,,,,,,,,,,得洪,,,德紅：東風菜義見上注俗加艹,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,菄
16714,155,東,東,鳥,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,鶇,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,,3,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,3,1,3,,,,,,,,,,德紅/德紅,,,德紅：鶇鵍鳥名美形出廣雅亦作𪂝,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,鶇
16715,176,東,東,羊,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,䍶,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,,4,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,4,1,4,,,,德紅,a1,,,都弄,,都弄,,,德紅：獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟/直珍：獸名似羊目在耳後/多貢：獸名似羊一角一目出秦戲山又音東,德紅/直珍/多貢,towŋ/ɖɨn/towŋh,tong/drin/tongh,tung/drin/tungh,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,䍶
16734,117,涷,涷,人,,涷,833,東,,,,,,,,,,,德紅,德紅,德,紅,𠍀,𠍀,儱𠍀儜劣皃出字諟,,5,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,1,1,5,,,,,,,,,,,,,德紅：儱𠍀儜劣皃出字諟,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𠍀
16713,117,東,東,人,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,倲,倲,上同,儱𠍀儜劣皃出字諟,6,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,2,1,6,,,,,,,,,,都聾,,,德紅：上同,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,倲
16728,361,東,東,食,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,𩜍,𩜍,地理志云東郡館名,,7,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,3,1,7,,,,,,,,,,,,,德紅：地理志云東郡館名,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𩜍
16899,37,仝,仝,心,,仝,837,同,,,,,,,,,,,德紅,德紅,德,紅,𢘐,𢘐,古文見道經,,8,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,4,1,8,,,,,,,,,,,,,德紅：古文見道經,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𢘐
16732,261,東,東,水,,涷,833,東,,,,,,,,,,,德紅,德紅,德,紅,涷,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,,9,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,5,1,9,,,德紅,德紅,a2,,,都貢,,都聾/都弄,tong/tongh/twong,東1/都弄1/冬1,德紅：瀧涷沾漬說文曰水出發鳩山入於河又都貢切/多貢：瀑雨又水名出發鳩山多貢切又音東七,德紅/多貢,towŋ/towŋh,tong/tongh,tung/tungh,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,次級聲旁,,,涷
16718,189,東,東,虫,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,蝀,蝀,螮蝀虹也又音董,,10,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,6,1,10,,,,,,,,丁孔,,丁孔,tong/tongq,德紅1/丁孔2/都動1,德紅：螮蝀虹也又音董/多動：螮蝀虹也又音東,德紅/多動,towŋ/towŋʔ,tong/tongq,tung/tungx,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,蝀
16729,369,東,東,冫,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,凍,凍,凍凌又都貢切,,11,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,7,1,11,,,,德紅,2,,,都洞,,都洞/東,tong/tongh,東1/丁弄1/丁貢4/東送1/都貢1,德紅：凍凌又都貢切/多貢：冰凍又音東,德紅/多貢,towŋ/towŋh,tong/tongh,tung/tungh,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,凍
16721,196,東,東,魚,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,鯟,鯟,魚名似鯉,,12,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,8,1,12,,,,,,,,,,德紅,,,德紅：魚名似鯉,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,鯟
16711,76,東,東,彳,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,𢔅,𢔅,行皃,,13,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,9,1,13,,,,,,,,,,德紅,,,德紅：行皃,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𢔅
16727,297,東,東,山,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,崠,崠,崠如山名,,14,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,10,1,14,,,,,,,,,,得紅,,,德紅：崠如山名,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,崠
16726,288,東,東,土,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,埬,埬,上埬地名,,15,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,11,1,15,,,,,,,,,,,,,德紅：上埬地名,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,埬
16720,190,東,東,䖵,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,𧓕,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,,16,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,12,1,16,,,,,,,,,,,,,德紅：蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𧓕
16725,237,東,東,鬼,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,䰤,䰤,醜皃,,17,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,13,1,17,,,,,,,,,,德洪,,,德紅：醜皃,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,䰤
16846,329,同,,凡口,會意,同,837,同,徒紅,,,,,,,,,,徒紅,徒紅,徒,紅,同,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,,18,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,14,2,1,,18,徒紅,徒紅,1,16加6,,徒東,,徒東,,,徒紅：齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,聲旁,次級聲旁,,東,同
16898,117,仝,,人工,會意,仝,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,仝,仝,古文出道書,,19,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,15,2,2,,,,,,,,,,,,,徒紅：古文出道書,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,次級聲旁,同的或體,,仝
16779,146,童,,辛東土,會意,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,童,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,,20,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,16,2,3,,,徒紅,徒紅,2,,,徒東,,徒東/徒東,dong/drjoong/tcjoong,如字2/直龍1/鍾2,徒紅：童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,聲旁,次級聲旁,金文裏字形爲基於⿱辛目而加東、重、重省等，故暫視爲與東重本不同類（後加東聲或重聲爲讀音演變使然）,東,童
16789,117,童,童,人,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,僮,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,,21,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,17,2,4,,,徒紅,徒紅,3,,,徒東,,徒東,dong,同2/童2,徒紅：僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,僮
16892,370,同,同,金,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,銅,銅,金之一品,,22,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,18,2,5,,,徒紅,徒紅,4,,,徒東,,徒東,,,徒紅：金之一品,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,銅
16874,216,同,同,木,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,桐,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,,23,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,19,2,6,,,徒紅,徒紅,5,,,徒東,,徒東,dong/dongq/0,同1/徒董1/□1,徒紅：木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,桐
16878,297,同,同,山,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,峒,峒,崆峒山名,,24,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,20,2,7,,,徒紅,徒紅,6,,,,,達貢/徒董,,,徒紅：崆峒山名/徒弄：磵深,徒紅/徒弄,dowŋ/dowŋh,dong/dongh,dung/dungh,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,峒
16880,298,同,同,石,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,硐,硐,磨也,,25,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,21,2,8,,,徒紅,徒紅,8,,,徒公,是,大公,,,徒紅：磨也/徒摠：安硐鏓硐見馬融長笛賦,徒紅/徒摠,dowŋ/dowŋʔ,dong/dongq,dung/dungx,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,硐
16885,328,同,同,舟,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,𦨴,𦨴,𦨴船,,26,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,22,2,9,,,徒紅,徒紅,9,,,徒東,是,徒紅,,,徒紅：𦨴船,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,𦨴
16868,171,同,同,豕,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,𧱁,𧱁,獸似豕出泰山,,27,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,23,2,10,,,徒紅,徒紅,7,,,徒公,,徒公,,,徒紅：獸似豕出泰山,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,𧱁
16894,398,同,同,竹,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,筒,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,,28,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong3,t,ong,3,上平08右,24,2,11,,,徒紅,徒紅,12,,,徒棟,,洞/同,,,徒紅：竹筒又竹名射筒吳都賦曰其竹則桂箭射筒/徒弄：簫達又音同,徒紅/徒弄,dowŋ/dowŋh,dong/dongh,dung/dungh,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,筒
16780,1,童,童,目,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,瞳,瞳,目瞳,,29,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,25,2,12,,,徒紅,徒紅,13,,,徒公,,徒公,thong/throongh,敕紅1/菟絳1,徒紅：目瞳,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,相當於基於童聲旁的初形⿱辛目而加⿱東土,,瞳
16942,381,甬,甬,瓦,,甬,838,用,,,,,,,,,,,徒紅,徒紅,徒,紅,㼧,㼧,㼧瓦,,30,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,26,2,13,,,徒紅,徒紅,14,,,徒公,,徒公,,,徒紅：㼧瓦,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,㼧
16893,381,同,同,瓦,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,𤭁,𤭁,上同,㼧瓦,31,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,27,2,14,,,,,,,,,,,,,徒紅：上同,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,𤭁
16818,417,童,童,网,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,罿,罿,車上網又音衝,,32,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,28,2,15,,,徒紅,徒紅,15,,,充鍾,,尺容,dcjoong/tchjoong,上凶3/昌凶1/昌容1/昌鍾1,徒紅：車上網又音衝/尺容：網也又音童,徒紅/尺容,dowŋ/tɕhjɔwŋ,dong/tchjoong,dung/chjyung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,罿
16792,169,童,童,牛,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,犝,犝,犝牛無角,,33,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,29,2,16,,,徒紅,徒紅,16,,,徒東,,徒東,dong,童1,徒紅：犝牛無角,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,犝
16943,398,甬,甬,竹,,甬,838,用,,,,,,,,,,,徒紅,徒紅,徒,紅,筩,筩,竹筩,,34,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,30,2,17,,,徒紅,徒紅,a6,,,徒東,,徒東,dong/dongq/yjoongq,童2/動2/勇2,徒紅：竹筩,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,筩
16802,261,童,童,水,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,潼,潼,水名出廣漢郡亦關名又通衝二音,,35,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,31,2,18,,,徒紅,徒紅,a1,,,徒公,,大紅,dong,童1,徒紅：水名出廣漢郡亦關名又通衝二音/尺容：河潼又音同,徒紅/尺容,dowŋ/tɕhjɔwŋ,dong/tchjoong,dung/chjyung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,潼
16804,279,童,童,日,,童,834,童,,,,,,,,,,,徒紅,徒紅,徒,紅,曈,曈,曈曨日欲明也又他孔切,,36,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,32,2,19,,,徒紅,徒紅,11,,,徒東,,徒東,,,徒紅：曈曨日欲明也又他孔切/他紅：曈曨欲明之皃/他孔：曈曨欲曙又音童聾,徒紅/他紅/他孔,dowŋ/thowŋ/thowŋʔ,dong/thong/thongq,dung/thung/thungx,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,曈
16875,261,同,同,水,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,洞,洞,洪洞縣名在晉州北又徒弄切,,37,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,33,2,20,,,,,,,,達貢,,達貢/徒董,dong/dongh/dongq,童1/大弄1/同貢1/徒弄1/徒送1/慟1/大董1/動1,徒紅：洪洞縣名在晉州北又徒弄切/徒弄：空也又洞庭湖徒弄切十六,徒紅/徒弄,dowŋ/dowŋh,dong/dongh,dung/dungh,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,洞
16862,117,同,同,人,,同,837,同,,,,,,,,,,,徒紅,徒紅,徒,紅,侗,侗,楊子法言云倥侗顓蒙,,38,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,,,,,,,,,上平08右,34,2,21,,,,,,,,吐公/勅動,,吐公/敕動,dong/dongh/thong/thongq,同2/洞1/吐功1/通2/勑動2/敕動1,徒紅：楊子法言云倥侗顓蒙/他紅：大也/他孔：直也一曰長大他孔切四,徒紅/他紅/他孔,dowŋ/thowŋ/thowŋʔ,dong/thong/thongq,dung/thung/thungx,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,,,,,侗
