諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
14419,297,昜,昜,山,,昜,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,崵,崵,山名漢高帝隱處,,13352,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,28,1832,2,,,,,,,,餘章,是,余章,,,與章：說文曰崵山在遼西/徒朗：山名漢高帝隱處,與章/徒朗,jɒŋ/dɒŋʔ,yjoang/doangq,jang/dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,崵
14406,119,昜,昜,女,,昜,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,婸,婸,淫戲皃,,13353,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,29,1832,3,,,堂朗,堂朗,7,,,大朗,,地朗,,,徒朗：淫戲皃,徒朗,dɒŋʔ,doangq,dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,婸
14438,398,昜,昜,竹,,昜,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,𥯕,𥯕,大竹筩,,13354,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,30,1832,4,,,堂朗,堂朗,8,,,徒黨,,徒黨,thoangq,他莽1,徒朗：大竹筩/他朗：說文曰大竹筩也,徒朗/他朗,dɒŋʔ/thɒŋʔ,doangq/thoangq,dangx/thangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,𥯕
14946,261,象,象,水,,象,758,象,,,,,,,,,,,徒朗,徒朗,徒,朗,潒,潒,水大之皃又洸潒也,,13355,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,31,1832,5,,,堂朗,堂朗,9,,,徒黨,,徒黨,,,徐兩：潒遠/徒朗：水大之皃又洸潒也,徐兩/徒朗,zjɒŋʔ/dɒŋʔ,zjoangq/doangq,zsiangx/dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,潒
14935,37,象,象,心,,象,758,象,,,,,,,,,,,徒朗,徒朗,徒,朗,𢠽,𢠽,放𢠽或作婸,,13356,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,32,1832,6,,,堂朗,堂朗,2,,,達黨,,徒朗,,,徒朗：放𢠽或作婸,徒朗,dɒŋʔ,doangq,dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,𢠽
14397,37,昜,昜,心,,昜,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,愓,愓,不憂,,13357,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,33,1832,7,,,堂朗,堂朗,3,,,徒黨,,杜朗,cjoang/yjoang,傷1/陽1,徒朗：不憂,徒朗,dɒŋʔ,doangq,dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,愓
14455,299,湯,湯,玉,,湯,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,璗,璗,玉名說文曰金之美與玉同色者也,,13358,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,34,1832,8,,,堂朗,堂朗,5,,,達黨,,徒黨,doangq,徒黨2,徒朗：玉名說文曰金之美與玉同色者也,徒朗,dɒŋʔ,doangq,dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,璗
14458,382,湯,湯,皿,,湯,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,盪,盪,滌盪搖動皃說文曰滌器也又吐浪切,,13359,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,dong6,d,ong,6,dang4,d,ang,4,上41右,35,1832,9,,,堂朗,堂朗,4,,,徒朗,,徒黨,doangh/doangq/thoangh,徒浪1/唐黨1/徒黨3/蕩1/土浪1/吐浪2,吐郎：盪突又徒朗切/徒朗：滌盪搖動皃說文曰滌器也又吐浪切/他浪：盪行又度朗切,吐郎/徒朗/他浪,thɒŋ/dɒŋʔ/thɒŋh,thoang/doangq/thoangh,thang/dangx/thangh,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,盪
14437,388,昜,昜,臼,,昜,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,䑗,䑗,舂也冶米精也,,13360,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,36,1832,10,,,堂朗,堂朗,6,,,達朗,,徒黨,,,徒朗：舂也冶米精也,徒朗,dɒŋʔ,doangq,dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,䑗
14461,398,湯,湯,竹,,湯,722,昜,,,,,,,,,,,徒朗,徒朗,徒,朗,簜,簜,大竹,,13361,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,37,1832,11,,,堂朗,堂朗,10,,,徒黨/達朗,,徒黨,doangq/thoangq,大黨3/徒朗1/徒黨1/他莽1,吐郎：水名在鄴今簜陰縣單作湯/徒朗：大竹,吐郎/徒朗,thɒŋ/dɒŋʔ,thoang/doangq,thang/dangx,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,簜
