"Dependent Measure","Model","BF","R2"
"zRT","Null (lexical variables)","","0.0138"
"Maximum Sensorimotor Strength","0.8636","0.1161"
"Minkowski 3 Sensorimotor Strength","0.6771","0.1126"
"Summed Sensorimotor Strength","0.4945","0.0773"
"Concreteness","0.2337","0.1111"
"ERR","Null (lexical variables)","","0.006"
"Summed Sensorimotor Strength","0.3465","0.047"
"Minkowski 3 Sensorimotor Strength","0.2656","0.078"
"Maximum Sensorimotor Strength","0.2219","0.096"
"Concreteness","0.1371","0.068"
