ID,两天,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,不久,沧海桑田,刹那,成年累月,待会,当即,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,即将,即刻,几十年,经年累月,老半天,立即,立刻,马上,七日,千年,千秋万代,顷刻,霎时,瞬间,天长日久,万代,万年,为期不远,迅即,迅雷不及掩耳,迅速,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一眨眼,一阵,一阵子,一整天,亿万斯年,永久,永生永世,永远,眨眼间,长年,长期,终身,终生,转眼间
English translation,Two days (comprehension check),A white steed flashing past a crack (time flies),A hundred years,A hundred days,Half a lifetime,Half a year,Half a life,Half a lifetime,Half a day,Half a year,A lifetime,Not long,Seas change into mulberry fields (time brings great changes),Kshana (a Buddhist term for an instant) / an instant,"Year in, year out",Wait a bit,Right then,Wait a little while,Wait a bit,As long as heaven and earth endure (eternal),Until earth grows old and heaven decays (forever),Short-term,For a short time,Many years,Many days,Until the seas dry up and rocks crumble (forever),Quite a long while,Quite a while,Quite a spell,Very many years,Very soon,Eternal,About to happen,This very moment,Decades,"Year after year, month after month",A very long while,Immediately,At once,Right away,Seven days,A thousand years,"Thousands of autumns, ten thousand generations (for all time)",In an instant,In a flash,A blink of time,As long as heaven and earth last (very long time),Ten thousand generations,Ten thousand years,Not far off (in time),Promptly and swiftly,Swift thunder leaves no time for covering ears (extremely fast),Swiftly,"Not within foreseeable time (literally, “far away with no deadline”)",Half a day or so,A lifetime,A single kshana / a split second,In a flash (time passing quickly),A short while,A quarter (of an hour) / a short while,Like a puff of smoke (very quickly),"A year or so (literally, “a year and half a year”)",One day,A flash,A whole life,"A short while (literally, “half a moment”)","A short while (literally, “half a moment”)",A generation / a lifetime,A fleeting moment,All at once,One night,A blink (of an eye),A spell (of time),A period of time,A whole day,Hundreds of millions of years,Permanent,For all eternity,Forever,In the blink of an eye,Year after year,Long-term,For life,All one’s life,In the blink of an eye
10,2,1825,36500,120,18250,180,18250,18250,0.5,180,36500,7,3650000,0.003472222,3650,0.041666667,,0.006944444,0.006944444,29200,36500,7,0.125,1825,15,365000,0.5,0.020833333,15,7300,0.083333333,36500,0.041666667,0.006944444,29200,3650,0.25,0.006944444,,0.006944444,7,365000,365000,0.006944444,0.010416667,0.000115741,18250,365000,3650000,730,0.041666667,0.000231481,0.083333333,3650,0.5,36500,0.000115741,0.125,0.041666667,0.010416667,0.003472222,180,1,0.003472222,36500,7,0.041666667,36500,0.000115741,0.003472222,0.333333333,0.000115741,15,15,1,3650000,36500,365000,36500,0.006944444,1825,730,36500,36500,0.125
11,2,7300,36500,100,18250,180,18250,18250,0.5,180,36500,0.006944444,3650000,5.79E-05,18250,0.003472222,0.003472222,0.000694444,0.000115741,36500,18250,30,0.003472222,7300,5,36500,0.25,0.010416667,0.003472222,18250,0.006944444,36500,0.000694444,5.79E-05,18250,18250,0.25,0.000347222,5.79E-05,0.000115741,7,365000,365000,0.000115741,5.79E-05,0.000115741,18250,73000000,3650000,7,0.000347222,5.79E-05,0.000694444,3650,1,36500,5.79E-05,3650,0.003472222,0.010416667,0.000115741,730,1,5.79E-05,36500,1,0.083333333,36500,5.79E-05,0.000694444,0.333333333,2.31E-05,0.027777778,0.003472222,1,3.65E+11,,21900,21900,2.31E-05,7300,180,18250,36500,5.79E-05
12,2,,36500,100,,180,,10950,0.333333333,180,,0.083333333,18250,0.000115741,1825,0.208333333,0.006944444,0.125,0.041666667,7300,18250,60,0.027777778,1095,10,36500,0.208333333,0.25,0.25,2920,0.083333333,,0.208333333,0.010416667,10950,2920,0.5,0.020833333,0.020833333,0.041666667,7,365000,109500,0.013888889,0.002083333,0.000115741,,,365000,,0.027777778,0.000115741,0.006944444,,0.333333333,,0.000231481,7,0.020833333,0.010416667,0.010416667,365,1,0.002083333,29200,0.041666667,0.041666667,,5.79E-05,0.083333333,1,3.47E-05,0.010416667,0.010416667,1,730000,3650000,,,3.47E-05,1095,180,10950,,0.041666667
13,2,0.000694444,36500,100,14600,180,18250,18250,0.5,180,29200,0.125,36500,1.16E-05,,0.083333333,5.79E-05,0.006944444,,36500,365000,,,3650,10,,0.5,0.006944444,0.006944444,7300,0.000694444,,0.083333333,5.79E-05,10950,,0.75,0.000694444,0.000694444,0.003472222,7,365000,365000,0.010416667,1.16E-05,1.16E-05,,3650000,3650000,10,1.16E-05,5.79E-05,0.003472222,365,2,29200,1.16E-05,1.16E-05,0.208333333,0.010416667,0.006944444,540,1,1.16E-05,29200,0.083333333,0.041666667,29200,1.16E-05,0.000115741,0.5,1.16E-05,0.010416667,0.010416667,1,3650000,36500,3650000,3650000,1.16E-05,7300,,36500,36500,1.16E-05
14,2,0.001388889,,100,,180,18250,,0.5,180,36500,,36500,1.16E-05,3650,,2.31E-05,0.010416667,0.002083333,,365000,90,,2920,,73000,0.5,,,3650,0.006944444,3650000000,0.000115741,2.31E-05,10950,,0.5,0.000115741,1.16E-05,0.001388889,7,,365000,0.010416667,0.000115741,5.79E-05,36500,36500000,3650000,,0.000289352,0.000115741,0.000578704,3650,,,2.31E-05,0.003472222,0.010416667,0.010416667,0.005555556,,1,0.000115741,36500,0.625,,36500,2.31E-05,2.31E-05,0.375,3.47E-05,0.083333333,0.017361111,1,3650000000,36500000000,3650000000,36500000000,1.16E-05,3650,1095,,36500,0.000173611
15,2,1.16E-05,36500,100,14600,180,18250,18250,0.5,180,29200,1,3.65E+16,1.16E-05,3650,0.020833333,0,0.006944444,0.003472222,3.65E+12,3.65E+13,30,0.083333333,10950,5,3.65E+14,0.020833333,0.041666667,0.020833333,7300,0.041666667,3.65E+19,0.000694444,0,18250,3650,0.166666667,1.16E-05,1.16E-05,0.000694444,7,365000,36500000,1.16E-05,1.16E-05,1.16E-05,3.65E+18,3.65E+18,3650000,30,1.16E-05,1.16E-05,0.000694444,18250,0.5,29200,1.16E-05,1.16E-05,0.020833333,0.010416667,5.79E-05,365,1,1.16E-05,29200,0.125,0.041666667,36500,1.16E-05,0.003472222,0.5,1.16E-05,0.006944444,0.020833333,1,3.65E+21,3.65E+14,3.65E+13,3.65E+15,1.16E-05,3650,365,29200,29200,1.16E-05
16,2,0.000115741,36500,100,18250,180,18250,18250,0.5,180,,0.013888889,3650000,0.000231481,2190,0.041666667,0.006944444,0.002083333,0.001388889,3650000,3650000,0.5,0.041666667,1095,3,3650000,0.013888889,0.083333333,5,7300,0.020833333,365000,0.013888889,0.000694444,7300,1825,0.416666667,0.006944444,0.000694444,0.000694444,7,365000,3650000,0.002083333,5.79E-05,0.000347222,36500,3650000,3650000,10,0.000347222,5.79E-05,0.000231481,36500000,1.5,36500,5.79E-05,3,0.020833333,0.010416667,0.000347222,300,1,0.000231481,36500,0.333333333,0.027777778,36500,0.003472222,0.000347222,0.291666667,1.16E-05,7,7,1,36500000,365000,3650000,365000,0.000115741,2190,1095,36500,36500,0.006944444
17,3,1095,36500,100,18250,180,18250,18250,0.5,180,36500,2,29200,1.16E-05,7300,,,,0.006944444,36500,36500,30,0.034722222,7300,10,29200,0.166666667,0.083333333,0.083333333,3650,,36500,,,29200,14600,0.166666667,1,,,7,365000,365000,0.010416667,0.010416667,1.16E-05,,3650000,3650000,,0.000694444,1.16E-05,,,0.5,36500,0.001388889,3650,0.083333333,0.010416667,0.020833333,365,1,0.010416667,36500,30,7,36500,0.041666667,0.006944444,0.333333333,1.16E-05,0.006944444,0.083333333,1,3650000,365000,365000,3650000,1.16E-05,14600,7300,36500,36500,0.006944444
18,2,,36500,90,14600,180,,,0.125,,29200,4,,0.000347222,3650,,0.000694444,0.000231481,0.000231481,,,20,0.020833333,1825,5,,0.25,0.208333333,0.125,1825,0.041666667,7300,1,0.006944444,10950,1825,0.083333333,0.006944444,0.010416667,0.006944444,7,,,0.010416667,0.006944444,0.000115741,18250,,,,0.000231481,0.000115741,0.000231481,,0.25,18250,0.000694444,0.125,0.083333333,0.010416667,,1095,1,0.000694444,29200,,0.083333333,36500,0.000694444,0.020833333,0.333333333,0.000694444,0.013888889,0.041666667,0.833333333,,,36500,,,3650,365,32850,,0.013888889
19,2,10,36500,120,14600,180,14600,14600,0.333333333,180,29200,2,36500000,0.000162037,3285,0.002083333,,0.013888889,,32120,3650000,4,0.010416667,2190,5,3244120,1,0.020833333,14,2190,0.25,365000,,,10950,1825,1,,0.005555556,,7,365000,1825000,0.002083333,5.79E-05,1.16E-05,36500,3650000,3650000,30,0.003472222,0.000347222,0.003472222,,0.291666667,21900,9.26E-05,2.31E-05,0.008333333,0.010416667,0.002777778,600,1,3.47E-05,21900,0.166666667,0.048611111,25550,2.31E-05,0.002083333,1,2.31E-05,0.083333333,14,1,3650000000,32120,36500,29200,2.31E-05,2190,1440,10950,28835,2.31E-05
