ID,两天,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,不久,沧海桑田,刹那,成年累月,待会,当即,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,即将,即刻,几十年,经年累月,老半天,立即,立刻,马上,七日,千年,千秋万代,顷刻,霎时,瞬间,天长日久,万代,万年,为期不远,迅即,迅雷不及掩耳,迅速,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一眨眼,一阵,一阵子,一整天,亿万斯年,永久,永生永世,永远,眨眼间,长年,长期,终身,终生,转眼间
English translation,Two days (comprehension check),A white steed flashing past a crack (time flies),A hundred years,A hundred days,Half a lifetime,Half a year,Half a life,Half a lifetime,Half a day,Half a year,A lifetime,Not long,Seas change into mulberry fields (time brings great changes),Kshana (a Buddhist term for an instant) / an instant,"Year in, year out",Wait a bit,Right then,Wait a little while,Wait a bit,As long as heaven and earth endure (eternal),Until earth grows old and heaven decays (forever),Short-term,For a short time,Many years,Many days,Until the seas dry up and rocks crumble (forever),Quite a long while,Quite a while,Quite a spell,Very many years,Very soon,Eternal,About to happen,This very moment,Decades,"Year after year, month after month",A very long while,Immediately,At once,Right away,Seven days,A thousand years,"Thousands of autumns, ten thousand generations (for all time)",In an instant,In a flash,A blink of time,As long as heaven and earth last (very long time),Ten thousand generations,Ten thousand years,Not far off (in time),Promptly and swiftly,Swift thunder leaves no time for covering ears (extremely fast),Swiftly,"Not within foreseeable time (literally, “far away with no deadline”)",Half a day or so,A lifetime,A single kshana / a split second,In a flash (time passing quickly),A short while,A quarter (of an hour) / a short while,Like a puff of smoke (very quickly),"A year or so (literally, “a year and half a year”)",One day,A flash,A whole life,"A short while (literally, “half a moment”)","A short while (literally, “half a moment”)",A generation / a lifetime,A fleeting moment,All at once,One night,A blink (of an eye),A spell (of time),A period of time,A whole day,Hundreds of millions of years,Permanent,For all eternity,Forever,In the blink of an eye,Year after year,Long-term,For life,All one’s life,In the blink of an eye
30,2,1095,36500,100,14600,180,14600,14600,0.166666667,180,36500,30,146000,0.000115741,1825,0.166666667,0.010416667,0.083333333,0.020833333,36500,36500,30,3,1825,7,36500,0.166666667,0.083333333,0.083333333,3650,3,7300,0.010416667,0.010416667,14600,7300,0.083333333,0.010416667,0.020833333,0.003472222,7,146000,146000,0.020833333,0.000115741,0.000115741,7300,73000,146000,1825,0.010416667,0.000115741,0.020833333,3650,1,36500,0.010416667,0.010416667,0.166666667,0.010416667,,365,1,0.000115741,36500,1,0.083333333,36500,0.010416667,0.083333333,0.333333333,0.003472222,0.083333333,7,1,36500,36500,36500,36500,0.003472222,7300,180,36500,36500,0.010416667
31,2,5.79E-05,36500,100,18250,180,18250,18250,0.25,180,,0.041666667,365000,1.16E-05,,0.006944444,5.79E-05,0.006944444,0.001388889,36500,36500,0.041666667,,1825,5,36500,0.25,0.041666667,0.166666667,1825,0.003472222,36500,,5.79E-05,10950,,0.083333333,0.000694444,0.000694444,0.001388889,7,365000,365000,5.79E-05,1.16E-05,1.16E-05,,3650000,3650000,,2.31E-05,1.16E-05,2.31E-05,3650,1.5,32850,1.16E-05,5.79E-05,0.003472222,0.010416667,0.000694444,365,1,2.31E-05,32850,0.006944444,0.005555556,36500,1.16E-05,0.000694444,0.416666667,1.16E-05,7,7,1,36500000000,36500,3650000,36500000000,1.16E-05,,3650,32850,36500,2.31E-05
32,3,,36500,99,10950,240,10950,18250,0.333333333,180,14600,1,,4.63E-05,,0.013888889,2.31E-05,0.006944444,0.006944444,,36500,90,0.020833333,2920,10,14600,0.25,0.166666667,0.166666667,5475,0.013888889,21900,1,0.003472222,10950,,0.083333333,0.003472222,0.006944444,0.006944444,7,328500,109500,5.79E-05,3.47E-05,3.47E-05,,,3285000,60,0.000115741,5.79E-05,0.003472222,1095,0.25,18250,2.31E-05,0.002083333,0.013888889,0.010416667,0.000694444,730,1,3.47E-05,21900,0.208333333,0.25,29200,3.47E-05,0.003472222,0.333333333,0.000173611,0.083333333,3,0.75,3650000,36500,365000,,5.79E-05,2920,365,14600,14600,0.006944444
33,2,3650,36500,100,18250,180,18250,18250,0.5,180,36500,3,182500,1.16E-05,7300,,,0.003472222,0.003472222,109500,109500,90,0.003472222,1825,5,109500,0.020833333,0.020833333,0.010416667,3650,0.000115741,36500,,,10950,10950,0.010416667,0.000347222,0.000347222,0.006944444,7,365000,365000000,3.47E-05,3.47E-05,1.16E-05,10950,365000000,3650000,15,0.000115741,3.47E-05,,18250,0.5,36500,1.16E-05,3650,0.006944444,0.010416667,0.000115741,730,1,3.47E-05,36500,0.25,,36500,1.16E-05,5.79E-05,0.333333333,3.47E-05,0.020833333,0.020833333,1,3.65E+14,109500,182500,182500,3.47E-05,3650,1825,36500,36500,365
34,2,90,36500,100,14600,,14600,14600,,180,29200,0.003472222,3650000,2.31E-05,,0.083333333,5.79E-05,0.020833333,,18250,365000,30,,2555,7,,0.416666667,0.041666667,0.083333333,2920,0.001388889,3650000,,1.16E-05,10950,,,0.000347222,0.000115741,,,365000,365000,1.16E-05,,0.000115741,18250,,3650000,,1.16E-05,2.31E-05,0.000231481,7300,0.5,18250,5.79E-05,3650,0.041666667,0.010416667,0.000347222,365,,0.000462963,29200,,0.020833333,29200,0.000115741,0.000231481,,5.79E-05,0.166666667,0.027777778,1,3650000,3650000,29200,3650000,0.000115741,1825,730,29200,,0.020833333
35,2,0,36500,100,18250,180,18250,18250,0.5,1825,29200,7,182500,0,1825,0.010416667,0,0.003472222,0.002083333,182500,182500,1095,,2920,5,182500,0.083333333,0.041666667,0.03125,3650,0.010416667,36500,0.003472222,,7300,1825,0.027777778,0,0,0,7,365000,182500,0.000694444,0,0,1825,365000,3650000,730,,0,,36500,0.208333333,29200,0,0.001388889,0.010416667,0.010416667,0,365,1,0,29200,0.5,0.041666667,29200,0,0,0.5,1.16E-05,0.010416667,0.010416667,1,36500000000,43800,182500,43800,1.16E-05,3650,3650,29200,29200,1.16E-05
36,2,,36500,100,21900,180,14600,14600,0.5,180,,3,,1.16E-05,,,0.001388889,0.003472222,0.166666667,3650000,,,,,,3650000,16,,,,,,0.003472222,0.000694444,14600,,,0.000694444,0.003472222,,7,,,,3.47E-05,1.16E-05,,,3650000,,0.003472222,5.79E-05,0.003472222,,,,5.79E-05,,0.020833333,0.010416667,,365,1,5.79E-05,25550,0.0625,,,0.003472222,,0.5,5.79E-05,30,180,1,,,,,5.79E-05,,,36500,36500,
37,2,14600,36500,90,18250,180,18250,18250,0.416666667,180,36500,5,18250,1.16E-05,7300,0.027777778,0.003472222,0.006944444,0.000694444,365000,365000,60,0.041666667,7300,60,36500,0.125,0.125,10,10950,0.833333333,36500,1,0.000347222,18250,18250,0.166666667,0.003472222,0.001388889,0.003472222,7,365000,365000,1.16E-05,5.79E-05,1.16E-05,36500,3650000,3650000,365,0.000115741,0.000231481,0.003472222,7300,1.666666667,36500,3.47E-05,3.47E-05,0.027777778,0.000694444,0.000347222,240,1,2.31E-05,36500,0.041666667,0.027777778,36500,1.16E-05,5.79E-05,0.416666667,5.79E-05,0.013888889,15,1,73000,365000,365000,365000,0.000694444,3650,1825,36500,36500,730
38,2,1.16E-05,36500,100,18250,180,3650,18250,0.5,18250,36500,0.083333333,3649635,1.16E-05,3650,0.208333333,0.000694444,0.041666667,0.041666667,3650000,36499635,30,0.006944444,3650,1,364635,0.208333333,0.208333333,0.208333333,3650,0.208333333,36499635,30,0.006944444,,3650,0.208333333,0.041666667,0.000694444,1.16E-05,,365000,364635,0.000694444,1.16E-05,0.000115741,36499635,3650000,36499635,3650,0.006944444,0.000115741,0.003472222,365,2,36500,1.16E-05,3650,0.208333333,0.010416667,0.010416667,730,1,0.000115741,36135,0.208333333,0.041666667,36500,1.16E-05,0.006944444,1,0.000694444,0.041666667,0.000694444,1,3650000,36499635,36499635,3649635,1.16E-05,3650,3650,36500,36500,0.041666667
39,2,10,36500,100,14600,180,18250,18250,0.5,1825,36500,10,10950,0.000115741,1825,2.31E-05,1.16E-05,0.003472222,5.79E-05,21900,36500,0.003472222,0.003472222,1825,5,36500,0.833333333,0.003472222,0.083333333,3650,0.003472222,36500,0.000115741,0.000347222,14600,7300,0.416666667,0.000115741,0.020833333,0.003472222,7,365000,36500,1,0.000347222,0.000115741,21900,36500,365000,5,0.013888889,0.000115741,0.003472222,1825,1.5,36500,5.79E-05,0.000347222,0.006944444,0.010416667,5.79E-05,1825,1,0.000115741,36500,0.5,0.5,36500,0.013888889,0.041666667,0.333333333,0.006944444,0.006944444,0.000694444,1,36500,36500,365000,365000,3.47E-05,1825,730,36500,36500,5.79E-05
40,2,1.16E-05,36500,100,16425,180,14600,14600,0.5,180,14600,3,365000,1.16E-05,3650,0.013888889,5.79E-05,0.013888889,0.006944444,36500,36500000,30,0.041666667,5475,7,3650000000,0.208333333,0.020833333,0.013888889,5475,0.006944444,36500,0.041666667,0.000694444,7300,7300,0.416666667,0.000694444,0,0.001388889,7,365000,3650000,0.000115741,2.31E-05,1.16E-05,21900,3650000,3650000,10,5.79E-05,1.16E-05,0.000231481,3650,0.5,29200,1.16E-06,5.79E-05,0.006944444,0.010416667,0.000694444,365,1,2.31E-05,29200,0.125,0.125,29200,1.16E-05,1.16E-05,0.416666667,1.16E-06,0.013888889,15,1,36500000000,29200,365000000,365000000,1.16E-06,,3650,29200,,5.79E-05
41,2,365,36500,100,18250,180,18250,,0.5,180,,0.041666667,18250,0.000115741,3650,0.041666667,0.000694444,0.041666667,0.003472222,18250,,90,0.208333333,1825,7,36500,0.208333333,0.208333333,0.125,18250,0.003472222,18250,0.041666667,0.000694444,10950,36500,0.208333333,0.000694444,0.000694444,5.79E-05,7,365000,36500,0.000694444,1.16E-05,0.003472222,36500,,3650000,3,,0.000115741,0.000115741,18250,1.5,29200,0.000694444,0.000694444,0.010416667,0.010416667,0.000694444,,1,0.000115741,29200,,0.041666667,36500,0.000115741,0.000347222,0.375,0.000115741,0.010416667,0.003472222,1,36500,36500,36500,36500,5.79E-05,3650,3650,36500,36500,1.16E-05
42,2,21900,36500,100,10950,180,10950,10950,0.5,180,21900,0.041666667,36500000,1.16E-05,730,0.006944444,3.47E-05,0.041666667,0.003472222,365000,3650000,10,0.208333333,2920,10,3650000,0.416666667,0.125,0.208333333,2920,0.006944444,36500,0.020833333,3.47E-05,7300,3650,0.041666667,0.000115741,1.16E-05,0.006944444,7,365000,3650000,1.16E-05,1.16E-05,1.16E-05,3650,36500000,3650000,10,1.16E-05,1.16E-05,3.47E-05,3650,1,21900,1.16E-05,1.16E-05,0.041666667,0.010416667,0.006944444,365,1,1.16E-05,21900,0.083333333,0.041666667,21900,1.16E-05,1.16E-05,0.333333333,2.31E-05,0.041666667,0.041666667,1,3650000,36500,36500,36500,1.16E-05,3650,365,21900,21900,1.16E-05
43,2,3650,36500,100,18250,180,18250,18250,0.5,18250,36500,30,,1.16E-05,10950,0.020833333,1.16E-05,0.003472222,0.003472222,36500,,90,0.083333333,3650,90,,0.083333333,0.020833333,0.083333333,1825,0.003472222,360,1.16E-05,1.16E-05,10950,7300,30,0.000694444,1.16E-05,0.020833333,7,365000,73000000,3.47E-05,1.16E-05,1.16E-05,3650,73000000,73000000,7,3.47E-05,0.000694444,0.000694444,300,0.25,36500,1.16E-05,365,0.003472222,0.010416667,3.47E-05,730,1,1.16E-05,36500,0.125,0.125,36500,1.16E-05,0.003472222,0.333333333,1.16E-05,0.003472222,0.003472222,1,,,,,1.16E-05,3650,360,36500,36500,1.16E-05
44,2,1.16E-05,36500,100,14600,360,14600,18250,0.5,180,29200,5,3650000,1.16E-05,18250,0.041666667,0.020833333,0.013888889,0.020833333,365000,3650000,30,0.125,3650,10,365000,0.5,0.166666667,60,7300,0.006944444,365000,0.000115741,0.000115741,21900,7300,12,0.000694444,1.16E-05,0.003472222,7,365000,365000,0.000115741,2.31E-05,0.000347222,365000,3650000,3650000,60,2.31E-05,1.16E-05,0.000694444,36500,1.5,29200,4.63E-05,30,0.041666667,0.000115741,0.000694444,547.5,1,1.16E-05,29200,0.125,0.041666667,36500,1.16E-05,0.000115741,0.5,1.16E-05,60,90,1,365000,36500000,3650000,36500000000,1.16E-05,18250,7300,29200,29200,0.000694444
45,2,,36500,100,,180,,,0.5,180,29200,3,3.65E+17,1.16E-05,,0.003472222,1.16E-05,0.006944444,,,3.65E+13,180,0.006944444,,3,,,,0.020833333,,,3.65E+18,0.002083333,1.16E-05,18250,,,1.16E-05,0.003472222,0.003472222,7,365000,3.65E+16,1.16E-05,1.16E-05,1.16E-05,,,3650000,30,3.47E-05,,5.79E-05,,1.5,,1.16E-07,5,,0.010416667,,547.5,1,1.16E-05,29200,,0.003472222,,1.16E-05,,0.208333333,,0.003472222,0.003472222,1,3.65E+18,,,3.65E+15,,1825,,29200,29200,
46,2,0.000115741,36500,100,12775,182.5,,,0.5,182.5,25550,0.013888889,7300,3.47E-05,7300,0.041666667,,0.006944444,,36500,3650000,30,0.020833333,,7,365000,0.166666667,0.041666667,0.083333333,3650,0.006944444,365000,0.006944444,3.47E-05,10950,7300,0.166666667,3.47E-05,3.47E-05,0.003472222,7,,3650000,3.47E-05,3.47E-05,1.16E-05,3650,36500,3650000,7,3.47E-05,3.47E-05,0.000115741,18250,1.5,25550,3.47E-05,1095,,,0.000115741,547.5,1,3.47E-05,,0.125,0.0625,36500,3.47E-05,3.47E-05,1,1.16E-05,0.083333333,,1,36500000000,36500000000,36500,36500000000,1.16E-05,3650,3650,25550,,0.000115741
47,3,3650,36500,100,18250,180,18250,18250,0.5,180,32850,0.416666667,36500000,0.000694444,3650,0.083333333,0.000694444,0.006944444,0.006944444,36500000,3.65E+11,10,0.416666667,3650,5,3650000000,,0.208333333,5,10950,0.006944444,36500000,10,0.003472222,10950,3650,0.5,0.003472222,0.010416667,0.006944444,7,365000,365000,0.006944444,0.000115741,0.000115741,3650000,36500000,3650000,30,31.45555556,,0.006944444,36500000,,29200,0.000115741,10,10,0.010416667,0.006944444,365,24,5.79E-05,32850,0.041666667,0.041666667,32850,0.000115741,0.003472222,1,0.000115741,0.003472222,10,1,3650000000,365000000,365000000,36500000,0.006944444,3650,3650,32850,32850,0.000694444
48,2,0.000115741,36500,100,12775,180,12775,12775,0.5,180,25550,0.013888889,73000,1.16E-05,1095,0.013888889,1.16E-05,0.013888889,0.003472222,36500,36500000000,3,0.03125,1825,5,365000,0.208333333,0.03125,0.125,2555,0.006944444,3650000,1.16E-05,1.16E-05,18250,730,0.333333333,1.16E-05,1.16E-05,1.16E-05,7,365000,182500,5.79E-05,1.16E-05,1.16E-05,36500,36500000000,3650000,60,1.16E-05,1.16E-05,0.003472222,36500,0.5,25550,1.16E-05,365,0.010416667,0.010416667,5.79E-05,365,1,1.16E-05,25550,0.03125,0.020833333,25550,3.47E-05,1.16E-05,0.333333333,3.47E-05,0.125,3,1,36500000000,36500000000,36500000000,36500000000,3.47E-05,730,1825,25550,25550,60
49,2,365,36500,90,10950,180,10950,10950,0.25,180,14600,30,109500,3.47E-05,3650,0.041666667,0.003472222,0.017361111,0.013888889,180,36500,90,5,2920,5,73000,0.25,0.041666667,0.020833333,2920,30,36500,10,0.006944444,10950,3650,0.25,0.006944444,0.006944444,0.125,7,365000,109500,5.79E-05,,3.47E-05,10950,109500,3650000,30,0.000347222,3.47E-05,0.006944444,3650,1,21900,3.47E-05,1095,0.020833333,0.010416667,0.000115741,365,1,3.47E-05,25550,0.208333333,0.020833333,25550,3.47E-05,0.020833333,,3.47E-05,30,30,1,36500,36500,18250,109500,10,7300,1095,18250,18250,5.79E-05
50,2,10950,36500,100,18250,180,18250,18250,0.5,18250,29200,90,365000,1.16E-05,1825,0.083333333,0.001388889,0.006944444,0.003472222,109500,36500,90,0.083333333,3650,14,365000,0.020833333,0.25,0.020833333,7300,0.041666667,365000,10,0.000694444,10950,3650,0.5,0.001388889,0.003472222,0.006944444,7,109500,109500,5.79E-05,0.000115741,1.16E-05,36500,109500,109500,90,1.16E-05,1.16E-05,0.000694444,730,0.5,29200,1.16E-05,0.000115741,0.083333333,0.010416667,0.001388889,540,1,5.79E-05,29200,,0.0625,29200,1.16E-05,0.003472222,0.333333333,2.31E-06,30,15,0.75,,36500,36500,,1.16E-05,5475,180,,36500,60
51,2,3650,36500,100,18250,182.5,18250,18250,0.5,180,36500,30,36500,1.16E-05,3650,0.083333333,1,0.020833333,0.002083333,36500,36500,30,0.125,1825,5,36500,0.416666667,0.125,0.5,7300,1,36500,30,1.16E-05,10950,10950,0.416666667,0.000694444,0.000694444,0.000694444,7,365000,36500,0.010416667,1.16E-05,1.16E-05,36500,3650000,3650000,90,0.000694444,1.16E-05,0.000694444,7300,1.5,36500,1.16E-05,3650,0.083333333,0.010416667,0.000694444,547.5,1,1.16E-05,36500,1,0.083333333,36500,1.16E-05,0.000694444,0.5,1.16E-05,0.006944444,0.041666667,1,36500000000,36500,36500,36500,0.000694444,7300,365,36500,36500,1
52,2,3650,36500,100,14600,180,14600,14600,0.416666667,180,36500,0.041666667,36500,1.16E-05,1825,0.041666667,0.041666667,0.013888889,0.003472222,36500,36500,30,0.020833333,3650,5,36500,0.083333333,0.083333333,0.083333333,3650,0.003472222,36500,0.006944444,5.79E-05,7300,1825,0.083333333,0.003472222,0.001388889,0.006944444,7,365000,365000,5.79E-05,1.16E-05,1.16E-05,18250,36500000,3650000,30,5.79E-05,1.16E-05,0.000115741,1825,0.5,36500,1.16E-05,3650,0.041666667,0.010416667,0.000115741,365,1,1.16E-05,36500,0.083333333,0.041666667,36500,2.31E-05,5.79E-05,0.333333333,1.16E-05,0.020833333,30,1,3.65E+15,36500,36500,36500,1.16E-05,3650,1825,36500,36500,0.000694444
53,2,,36500,100,18250,180,18250,18250,0.5,180,36500,0.006944444,3650000,3.47E-05,3650,0.013888889,3.47E-05,0.006944444,,36500,3.65E+12,60,0.125,1825,10,365000,0.041666667,0.041666667,0.041666667,3650,0.006944444,3.65E+14,,3.47E-05,18250,1825,0.041666667,3.47E-05,,0.003472222,,365000,3.65E+11,3.47E-05,3.47E-05,1.16E-05,1095,3.65E+14,3650000,30,3.47E-05,1.16E-05,1.16E-05,,1.5,36500,3.47E-05,0.003472222,0.003472222,0.010416667,0.000115741,730,1,0.000115741,36500,3,0.083333333,36500,,0.000694444,0.375,3.47E-05,3,30,1,3.65E+12,3.65E+15,3.65E+15,3.65E+14,3.47E-05,3650,180,36500,36500,0.000694444
54,2,,,100,,,10950,18250,0.5,,36135,3,,0.000115741,,0.020833333,0.000694444,0.010416667,0.006944444,,,30,0.041666667,3650,15,,0.125,0.020833333,0.020833333,3650,0.006944444,18250,0.002083333,0.000347222,10950,3650,0.125,0.000694444,0.000694444,0.002083333,7,365000,,0.000694444,1.16E-05,1.16E-06,18250,,3650000,,0.000115741,5.79E-06,,18615,1.5,18250,1.16E-06,6.94E-05,0.006944444,0.010416667,,547.5,1,1.16E-05,18250,0.5,0.041666667,36500,1.16E-05,1.16E-05,0.5,1.16E-05,0.041666667,0.020833333,1,36500000000,18250,,18250,1.16E-05,18250,210,36135,36135,1.16E-05
55,2,3.47E-05,36500,100,14600,180,14600,18250,0.25,180,,0.006944444,36500,1.16E-05,3650,0.020833333,0.000115741,0.020833333,0.020833333,29200,365000000,7,0.125,3650,30,3650000000,0.5,0.291666667,0.020833333,3650,0.020833333,,0.000694444,0.000347222,10950,2160,0.5,5.79E-05,0.000347222,0.002083333,7,365000,365000000,5.79E-05,5.79E-05,3.47E-05,36500,3650000000,3650000,30,0.000347222,1.16E-05,0.000347222,,0.5,29200,1.16E-05,3650,0.020833333,0.010416667,3650,180,0.5,5.79E-05,29200,0.020833333,0.052083333,29200,5.79E-05,3.47E-05,0.333333333,1.16E-05,0.020833333,7,1,3.65E+11,36500,36500,36500,1.16E-05,14600,150,29200,29200,0.000115741
