word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
abandon,47.96,34.401,26,24.923,29.593,27,0-100_VAS
abat-jour,81.462,19.992,24,12.375,20.961,24,0-100_VAS
abattoir,60.385,32.545,28,47.577,34.5,27,0-100_VAS
abbé,49.64,35.941,24,20.833,29.902,25,0-100_VAS
abdomen,74.792,26.612,24,18.043,20.877,24,0-100_VAS
abeille,91.64,11.679,27,74,30.16,25,0-100_VAS
aboiement,56.7,32.639,22,90,14.513,21,0-100_VAS
abondance,63.929,33.768,26,9.769,17.761,26,0-100_VAS
abonnement,49.24,33.574,25,23.444,25.697,27,0-100_VAS
abonné,45.115,36.362,25,23.667,28.995,27,0-100_VAS
abricot,88,15.814,27,16.071,25.673,29,0-100_VAS
abstinence,44.158,37.739,24,19.2,27.892,21,0-100_VAS
abstraction,38.435,35.173,24,24.542,29.881,23,0-100_VAS
abus,54.24,33.012,25,34.385,35.946,26,0-100_VAS
abîme,49.36,40.86,25,16.731,31.084,26,0-100_VAS
académie,57.655,27.844,28,32.64,37.249,27,0-100_VAS
accent,38.708,35.798,25,64.423,39.575,26,0-100_VAS
acceptation,48.12,34.292,25,33.92,34.37,26,0-100_VAS
accession,37.31,34.604,28,22.929,27.908,28,0-100_VAS
accessoire,66.519,30.5,25,24.37,24.67,27,0-100_VAS
accident,71.655,26.051,24,68.852,33.607,27,0-100_VAS
accord,47.893,36.765,28,45.483,34.283,28,0-100_VAS
accordéon,84.708,15.31,24,82.72,25.309,25,0-100_VAS
accouplement,80.483,17.854,28,54.286,36.482,28,0-100_VAS
accroc,55.857,34.62,25,26.889,33.323,27,0-100_VAS
accusation,54,31.773,24,38.609,33.018,24,0-100_VAS
accusé,59.76,29.992,24,35.6,35.753,25,0-100_VAS
accès,47.786,31.9,27,23.63,32.163,27,0-100_VAS
accélérateur,47,36.721,24,37.667,35.781,26,0-100_VAS
achat,62.92,37.606,25,33.556,31.375,27,0-100_VAS
acide,43.273,32.355,24,21.043,23.044,23,0-100_VAS
acier,82.75,17.187,28,33.357,35.475,28,0-100_VAS
acquisition,38.04,33.882,25,22.885,34.046,26,0-100_VAS
acte,34.615,34.305,28,22.615,29.987,26,0-100_VAS
acteur,79.929,21.742,28,49.815,36.89,28,0-100_VAS
action,61.538,33.636,25,48.074,34.295,27,0-100_VAS
activation,40.84,32.28,24,23.96,26.799,25,0-100_VAS
actualité,58.84,34.631,26,38.667,37.543,27,0-100_VAS
adage,14.808,20.642,25,19.083,30.47,24,0-100_VAS
adaptation,46.045,42.538,24,26.783,31.973,24,0-100_VAS
adhésion,39.64,31.379,26,23.88,29.496,25,0-100_VAS
adieu,56.8,32.449,25,53.667,37.091,26,0-100_VAS
adjectif,40.115,38.755,28,33.207,31.288,28,0-100_VAS
adjoint,39.217,37.881,23,22.652,33.926,23,0-100_VAS
administrateur,43.654,35.112,25,18.923,24.948,26,0-100_VAS
administration,62.348,25.954,24,27.417,29.798,23,0-100_VAS
admiration,51.88,31.333,24,27.375,32.715,24,0-100_VAS
admission,55.207,32.124,25,28.148,29.661,27,0-100_VAS
adolescente,80.48,26.053,25,36.8,38.314,25,0-100_VAS
adoption,62.92,35.652,26,26.407,30.9,27,0-100_VAS
adresse,59.435,41.116,23,18.348,27.294,23,0-100_VAS
adverbe,41.08,34.895,24,38.478,35.839,23,0-100_VAS
adversaire,52.182,37.706,24,30.25,33.879,24,0-100_VAS
affection,70.52,35.677,28,46.154,42.905,26,0-100_VAS
affichage,70.583,27.236,24,21.565,29.895,24,0-100_VAS
affirmation,34.32,36.307,25,38.444,37.582,26,0-100_VAS
affluence,49.32,35.113,25,30.846,34.329,26,0-100_VAS
affolement,60.88,32.713,25,50.923,36.938,26,0-100_VAS
agenda,79.107,24.66,27,26.074,35.598,27,0-100_VAS
agente,64,30.828,24,20.87,30.921,24,0-100_VAS
agilité,59.364,34.359,24,15.571,22.042,24,0-100_VAS
agitation,61.85,30.233,23,43.5,38.575,21,0-100_VAS
agneau,65.5,28.475,25,50.889,30.639,27,0-100_VAS
agonie,52.778,36.006,25,37.154,39.533,26,0-100_VAS
agrafeuse,79.043,28.282,23,59.957,34.519,23,0-100_VAS
agressivité,66.5,24.293,25,50.76,35.06,26,0-100_VAS
agriculteur,74.2,27.307,25,33.815,37.27,27,0-100_VAS
agriculture,68.32,33.153,23,24.24,27.62,25,0-100_VAS
agrumes,80.821,20.061,28,23.069,29.808,28,0-100_VAS
aide,53.333,39.416,22,42.208,38.265,24,0-100_VAS
aigle,82.185,26.721,27,56.481,36.113,27,0-100_VAS
aigre,36.783,36.166,25,21.478,30.11,24,0-100_VAS
ail,82.44,22.352,24,21.08,27.102,25,0-100_VAS
aile,80.154,19.143,27,34.667,34.105,27,0-100_VAS
aimant,71.08,21.602,23,28.13,32.379,23,0-100_VAS
aisance,42.625,35.295,24,26.542,28.802,24,0-100_VAS
ajout,43.75,34.086,20,30.75,34.432,20,0-100_VAS
ajustage,43.609,29.161,24,28,33.621,24,0-100_VAS
album,74.7,19.206,20,45.2,42.456,20,0-100_VAS
alerte,56.042,33.021,23,65.435,30.975,24,0-100_VAS
algèbre,65.04,35.776,27,21.963,32.345,27,0-100_VAS
alibi,31.481,26.336,28,31.286,32.808,28,0-100_VAS
alignement,60.417,32.904,24,16.625,29.942,24,0-100_VAS
aliment,72.286,28.288,25,29.111,32.724,27,0-100_VAS
alimentation,74.308,27.904,26,35.192,35.226,26,0-100_VAS
alligator,82.36,18.925,25,24.917,27.188,24,0-100_VAS
allocution,34.826,35.58,25,41.826,37.325,24,0-100_VAS
allure,51.72,33.246,25,27.478,29.203,24,0-100_VAS
allusion,25.6,32.86,27,22.654,34.308,26,0-100_VAS
allée,75.625,18.375,25,23.63,31.958,27,0-100_VAS
allégresse,46.111,39.137,25,39.333,43.227,27,0-100_VAS
altitude,66.115,29.398,25,22.778,27.504,27,0-100_VAS
amande,90.036,12.574,25,28.222,31.939,27,0-100_VAS
amante,47.04,33.529,25,30.815,33.251,27,0-100_VAS
amas,45.542,30.21,27,18.577,29.734,26,0-100_VAS
amateur,34.852,33.702,27,20.615,30.971,26,0-100_VAS
ambassadeur,51.92,35.886,24,23.24,33.393,25,0-100_VAS
ambiance,54.607,35.345,24,59.103,37.512,28,0-100_VAS
ambiguïté,40.125,35.454,24,28.417,33.226,24,0-100_VAS
ambulance,89.407,13.474,25,87.185,23.71,28,0-100_VAS
amende,80.929,19.548,27,26.407,29.726,27,0-100_VAS
amertume,27,27.72,26,22.704,27.034,26,0-100_VAS
amnésie,44.217,36.031,24,28.167,30.068,23,0-100_VAS
amortisseur,46.72,30.592,26,32.615,29.02,27,0-100_VAS
ampleur,44.577,31.986,27,24.963,31.864,26,0-100_VAS
amplificateur,50.583,32.813,27,50.038,39.827,26,0-100_VAS
amplitude,42.55,31.945,22,34.8,37.457,20,0-100_VAS
ampoule,82.357,18.794,28,25.276,29.058,28,0-100_VAS
ampère,30.318,28.55,24,17.913,26.98,23,0-100_VAS
aménagement,64.92,30.943,27,22.185,29.744,27,0-100_VAS
analogie,31.88,35.78,24,26.28,31.811,25,0-100_VAS
ananas,89.808,13.983,25,22.222,34.209,27,0-100_VAS
anarchie,52.5,34.652,24,31.08,34.854,25,0-100_VAS
anatomie,78,27.378,24,22,31.613,24,0-100_VAS
ancêtre,55.76,32.398,24,24.583,26.221,24,0-100_VAS
angle,70.519,31.292,25,5.192,13.588,26,0-100_VAS
angoisse,60.607,27.171,28,42.069,29.771,28,0-100_VAS
anguille,70.261,34.343,24,16.391,26.347,23,0-100_VAS
animation,68.87,32.566,23,60.087,30.059,23,0-100_VAS
anneau,79.852,22.461,26,17.556,27.299,26,0-100_VAS
annexe,42.76,31.026,26,17.889,30.827,27,0-100_VAS
annonce,73.621,26.369,27,56.071,35.066,28,0-100_VAS
annuaire,70.28,23.695,26,20.519,24.205,26,0-100_VAS
année,49.759,32.446,28,23.929,30.128,28,0-100_VAS
antichambre,46.792,33.175,24,22.88,28.012,25,0-100_VAS
anticipation,39.667,35.343,23,32.292,28.136,23,0-100_VAS
antipathie,33.259,35.061,25,31.444,37.19,27,0-100_VAS
antithèse,26.379,29.219,28,26.893,33.839,28,0-100_VAS
antre,34.36,29.806,24,13.44,21.221,25,0-100_VAS
anxiété,51.92,33.363,25,35.481,34.367,26,0-100_VAS
aorte,45.75,34.351,24,19.083,23.17,24,0-100_VAS
aperçu,43.5,30.465,25,26.889,32.465,26,0-100_VAS
aphrodisiaque,51.391,29.256,24,38.042,40.743,23,0-100_VAS
aplomb,21.375,27.753,24,21.375,31.749,24,0-100_VAS
apogée,41.962,33.873,25,26.704,31.578,27,0-100_VAS
appareil,78.36,16.378,25,44.12,36.567,26,0-100_VAS
appartement,76.583,20.705,23,36.318,36.406,23,0-100_VAS
appel,53.48,31.3,24,66.68,36.357,25,0-100_VAS
application,56.217,35.918,24,22.652,30.251,24,0-100_VAS
apport,20.64,27.415,24,16,24.478,25,0-100_VAS
apprentissage,62.5,29.522,20,48.15,41.804,20,0-100_VAS
approche,51.217,33.737,25,34.731,33.436,27,0-100_VAS
appréciation,33.308,32.887,25,36.37,35.963,27,0-100_VAS
appui,58.652,32.872,26,35.88,33.622,26,0-100_VAS
appât,62.957,33.453,25,24.522,32.654,24,0-100_VAS
appétit,44.239,34.557,24,32.08,32.359,25,0-100_VAS
aptitude,33.154,34.262,27,29.963,33.077,27,0-100_VAS
apéritif,70.167,33.172,24,32.5,33.604,24,0-100_VAS
aquarelle,84.08,25.423,24,18.36,26.228,26,0-100_VAS
araignée,85.286,19.073,28,23.75,32.312,28,0-100_VAS
arbalète,72.333,24.995,25,40.577,34.365,27,0-100_VAS
arbre,93.786,10.119,25,54,36.371,27,0-100_VAS
arbuste,79.88,22.3,24,13.667,19.973,24,0-100_VAS
arc,82.464,15.719,25,18.269,26.454,26,0-100_VAS
archer,62.6,32.852,25,24.815,28.868,27,0-100_VAS
archet,46.276,40.831,28,30.071,33.944,28,0-100_VAS
archipel,45.391,35.287,24,14.348,23.317,24,0-100_VAS
architecture,77.125,20.454,25,28.043,35.912,23,0-100_VAS
ardeur,31.739,33.829,23,32.043,32.903,24,0-100_VAS
argile,76.2,20.98,24,21.042,24.794,24,0-100_VAS
argot,21.655,29.478,28,25.643,36.174,29,0-100_VAS
argument,40.036,35.855,25,60.448,33.458,28,0-100_VAS
armistice,31.72,33.963,24,17.5,25.842,24,0-100_VAS
armoire,87.038,18.926,26,36.926,36.89,29,0-100_VAS
armure,80.44,29.857,27,44.808,40.059,26,0-100_VAS
arrivée,58.296,35.745,25,17.885,26.558,26,0-100_VAS
arrosoir,81.423,17.7,26,45.037,34.302,26,0-100_VAS
arsenal,54.36,37.848,27,25,35.112,26,0-100_VAS
artichaut,76.542,23.058,24,13.333,25.289,24,0-100_VAS
articulation,72.96,25.884,24,39.174,33.812,24,0-100_VAS
artillerie,67.217,30.894,24,49.125,39.434,24,0-100_VAS
artisan,64.435,28.282,23,31.652,35.262,23,0-100_VAS
artère,67.75,26.922,24,14.25,19.369,25,0-100_VAS
arène,79.52,18.09,25,49.84,38.517,25,0-100_VAS
arête,70.292,31.321,24,15.667,26.234,24,0-100_VAS
arôme,24.792,31.982,24,19.125,29.412,24,0-100_VAS
ascension,58.5,32.413,28,32.414,32.363,28,0-100_VAS
asile,64.375,30.049,23,40.545,32.443,23,0-100_VAS
aspect,38.296,35.036,26,25.69,29.958,28,0-100_VAS
asperge,82.423,19.708,27,20.481,28.813,27,0-100_VAS
asphalte,85.167,20.451,24,21.68,29.712,25,0-100_VAS
aspirateur,89.5,13.855,28,87.259,17.836,28,0-100_VAS
aspiration,48.955,35.367,24,34.826,32.652,25,0-100_VAS
aspirine,74.182,27.96,24,16.81,27.82,25,0-100_VAS
assaut,58.821,29.546,25,52.769,34.162,27,0-100_VAS
assemblée,71,22.988,28,51.857,33.955,29,0-100_VAS
assiette,86.103,18.368,28,38.5,34.514,28,0-100_VAS
assistanat,31.042,34.704,24,16.917,23.069,25,0-100_VAS
assistance,55.321,32.218,28,31.536,34.43,28,0-100_VAS
assistant,59.692,34.708,25,22.038,27.358,26,0-100_VAS
association,53,36.913,24,31.913,28.99,23,0-100_VAS
astronaute,84.808,20.394,25,38.852,29.08,27,0-100_VAS
astuce,43.727,34.755,24,28.136,32.7,24,0-100_VAS
atmosphère,60.92,34.22,24,27.174,29.604,23,0-100_VAS
atome,59.36,35.82,25,10.192,23.598,26,0-100_VAS
atout,39.44,32.875,25,29.963,34.16,27,0-100_VAS
attachement,64.793,32.165,25,33.111,28.686,27,0-100_VAS
attaque,79.321,23.597,25,62.926,33.162,27,0-100_VAS
atteinte,34.9,30.534,20,29.6,34.811,20,0-100_VAS
attelage,43.565,33.634,24,23.696,30.407,24,0-100_VAS
attendrissement,48.591,36.27,24,26.364,30.314,24,0-100_VAS
attirance,69.958,32.055,24,36.542,35.777,24,0-100_VAS
attraction,69.625,33.522,25,43.519,39.202,27,0-100_VAS
attrape,44.55,30.947,20,33.65,36.72,22,0-100_VAS
attribut,27.655,29.779,28,21.321,28.66,29,0-100_VAS
attribution,27.217,35.552,23,22.609,30.907,24,0-100_VAS
aubergine,86.087,16.481,23,21.545,32.163,23,0-100_VAS
audace,44.304,41.869,24,42.818,37.471,23,0-100_VAS
audience,71.345,23.947,28,48.714,36.505,28,0-100_VAS
audition,55.826,34.189,23,60.542,33.732,23,0-100_VAS
auge,8.8,20.73,25,4.462,10.712,26,0-100_VAS
augmentation,46.88,37.398,25,25.346,34.982,26,0-100_VAS
augure,21.929,29.532,25,19.538,28,27,0-100_VAS
aune,21.25,32.116,28,15.069,20.183,28,0-100_VAS
aura,64.167,33.391,24,26.727,30.94,23,0-100_VAS
aurore,86.652,21.86,24,29.087,37.363,24,0-100_VAS
auteure,53.957,34.981,23,25.826,32.9,23,0-100_VAS
automate,30.737,29.344,24,33.68,35.854,25,0-100_VAS
automobile,88.76,15.568,24,64.84,32.352,25,0-100_VAS
autonomie,52.333,39.275,23,38.208,35.96,23,0-100_VAS
autorisation,52.909,30.961,23,38.042,32.673,23,0-100_VAS
autruche,78.36,20.94,24,30.5,30.24,24,0-100_VAS
auvent,58.185,32.746,25,33.778,33.552,27,0-100_VAS
avalanche,84.897,22.297,28,51.786,36.053,28,0-100_VAS
avantage,33.792,34.354,25,20.038,30.878,26,0-100_VAS
avatar,73.19,32.857,24,18.762,25.618,24,0-100_VAS
avenir,47.32,38.804,25,22.667,32.981,27,0-100_VAS
avenue,61.821,30.375,25,36.296,34.977,27,0-100_VAS
averse,82.815,19.157,28,75.241,23.536,28,0-100_VAS
avertissement,51.625,36.877,24,52.542,39.586,25,0-100_VAS
aveu,16.5,26.258,24,49.292,37.594,24,0-100_VAS
avion,88.4,15.655,24,73.667,28.08,25,0-100_VAS
aviron,64.522,34.164,24,23.565,31.326,24,0-100_VAS
avis,46.609,36.374,24,40.957,40.206,24,0-100_VAS
avoine,76,19.672,28,17.714,23.972,28,0-100_VAS
avortement,53.16,38.334,24,22.24,31.268,25,0-100_VAS
avril,58.5,31.993,25,23.444,27.987,26,0-100_VAS
axe,66.63,28.171,25,23.037,29.849,27,0-100_VAS
azote,35.37,35.475,25,10.346,16.828,26,0-100_VAS
aéroport,87.136,22.387,24,71.429,30.787,24,0-100_VAS
aïeul,43.815,34.664,28,29.724,32.902,28,0-100_VAS
babillard,84.333,22.555,24,9.429,19.541,24,0-100_VAS
bactérie,58.826,35.133,23,30.826,32.832,23,0-100_VAS
bagage,87.714,16.28,28,30.571,33.166,28,0-100_VAS
bagarre,71.64,34.027,25,61.308,36.685,26,0-100_VAS
bagatelle,36,32.827,25,19.037,27.634,27,0-100_VAS
bagnole,83.304,18.47,23,53.458,29.37,24,0-100_VAS
bague,92.095,12.033,24,9.952,15.816,25,0-100_VAS
bail,48.492,32.548,24,17.68,22.999,26,0-100_VAS
bain,88.5,17.747,24,53.917,37.384,24,0-100_VAS
baiser,84.478,20.223,24,75.435,27.416,24,0-100_VAS
balade,62.731,34.142,25,54.222,37.154,26,0-100_VAS
balai,86.583,16.547,24,35.375,35.993,24,0-100_VAS
balance,71.88,30.978,25,29.148,34.074,27,0-100_VAS
balançoire,88.037,14.847,25,51.577,36.922,26,0-100_VAS
balcon,78.8,19.654,22,23.9,29.013,20,0-100_VAS
baleine,89.409,15.592,24,51.667,34.539,24,0-100_VAS
balise,50.793,35.402,28,24.286,32.961,28,0-100_VAS
balle,84.381,16.442,24,33.65,34.857,24,0-100_VAS
ballet,86.345,16.532,28,52.071,36.087,28,0-100_VAS
ballon,85.964,22.056,25,46.296,36.604,27,0-100_VAS
baluchon,65.417,34.39,25,13.385,24.816,26,0-100_VAS
bambin,76.826,31.837,24,62.522,40.455,24,0-100_VAS
bambou,87.955,16.638,24,11.857,23.627,24,0-100_VAS
banane,89.68,18.33,24,15.08,23.892,25,0-100_VAS
bande,68.32,24.527,24,26.818,32.94,25,0-100_VAS
bandelette,56.76,35.131,24,13.667,26.47,24,0-100_VAS
banderole,77.393,27.035,25,35.481,39.556,27,0-100_VAS
banjo,70.31,23.419,25,74.148,29.37,27,0-100_VAS
banlieue,78.423,23.952,24,40.957,34.042,24,0-100_VAS
bannière,75.69,25.205,28,18.857,23.59,29,0-100_VAS
banque,75.6,30.261,25,18.615,31.649,26,0-100_VAS
banquet,74.72,25.142,23,42,33.401,23,0-100_VAS
baptême,77.414,24.574,25,52.148,33.265,27,0-100_VAS
baraque,66.348,32.868,23,19.13,28.075,24,0-100_VAS
barbe,89.19,15.497,24,16.095,26.155,25,0-100_VAS
barbecue,76,28.125,24,53.44,31.459,26,0-100_VAS
barbelé,80.136,29.757,24,7.667,14.813,24,0-100_VAS
barbiche,64.269,34.56,24,17.56,21.683,25,0-100_VAS
barge,41.321,36.881,28,20.379,27.047,29,0-100_VAS
baril,72.192,25.86,24,14.583,25.029,24,0-100_VAS
baron,49.231,34.907,24,17.25,24.758,24,0-100_VAS
baronne,39.75,29.937,24,19.333,26.473,24,0-100_VAS
barque,75.556,22.843,25,39.423,31.527,27,0-100_VAS
barrage,71.857,28.281,25,24.962,29.792,26,0-100_VAS
barrette,76.103,31.611,28,22.75,30.769,28,0-100_VAS
barricade,70.12,28.97,24,31.5,29.556,24,0-100_VAS
barrière,79.739,20.99,24,21.522,22.673,24,0-100_VAS
bascule,57.348,35.508,23,26.913,33.483,23,0-100_VAS
basket-ball,85.44,19.447,25,59.519,34.283,26,0-100_VAS
basse,47,34.307,24,44.609,40.522,23,0-100_VAS
bassine,75.792,22.664,23,37.087,35.637,23,0-100_VAS
bataille,72.481,24.417,28,57.897,34.563,28,0-100_VAS
bataillon,63.48,27.598,24,43.556,31.532,27,0-100_VAS
bateau,89.375,12.254,25,49.269,34.126,27,0-100_VAS
battant,57.136,35.445,24,29.583,35.074,24,0-100_VAS
baume,65.217,35.095,22,12.833,24.471,23,0-100_VAS
bavure,40.069,31.932,28,21.143,28.616,28,0-100_VAS
bazar,72.172,16.826,24,36.12,33.057,25,0-100_VAS
bec,83.08,26.303,25,56.6,41.383,26,0-100_VAS
bedon,80.917,25.198,24,24.88,31.656,25,0-100_VAS
beignet,83.083,23.844,25,16.154,26.217,27,0-100_VAS
belette,57,35.36,23,19.667,28.216,23,0-100_VAS
belge,62.107,34.558,25,52.074,37.1,27,0-100_VAS
belvédère,71.5,26.566,25,19.778,27.416,27,0-100_VAS
benne,46.348,39.226,23,27.739,37.001,24,0-100_VAS
berge,53.321,32.858,25,32,34.04,27,0-100_VAS
besogne,45.318,36.488,24,16.714,26.631,24,0-100_VAS
bestiole,79.13,23.356,23,27.542,31.263,23,0-100_VAS
betterave,83.308,22.272,25,21.708,31.813,27,0-100_VAS
beurre,85.958,16.268,23,19.826,27.483,23,0-100_VAS
biais,41.52,35.34,25,25.08,28.443,26,0-100_VAS
biberon,86.31,22.305,28,47.893,40.658,28,0-100_VAS
bible,76.12,28.136,24,20.84,26.205,25,0-100_VAS
biche,75.6,25.136,22,30.375,33.324,24,0-100_VAS
bicyclette,93.821,7.379,25,48.692,34.833,26,0-100_VAS
bidon,63.48,30.075,25,21.741,29.554,27,0-100_VAS
bien-être,59.893,38.09,25,44.852,37.593,27,0-100_VAS
bienfait,38.913,39.92,24,20.217,31.298,24,0-100_VAS
bigoudi,72.679,30.571,25,20.769,30.786,27,0-100_VAS
bijouterie,74.4,28.259,25,18.037,28.236,27,0-100_VAS
bijoutière,68.792,26.862,23,27.217,33.756,23,0-100_VAS
binette,48.68,42.502,25,6.385,18.868,26,0-100_VAS
biographie,70.296,27.164,28,29.37,36.863,28,0-100_VAS
biscotte,81.375,23.106,25,49,33.999,26,0-100_VAS
bise,72.826,30.889,24,50.391,39.864,24,0-100_VAS
bisou,88.435,17.732,25,73.962,33.376,27,0-100_VAS
blague,54.107,38.424,28,73.857,30.986,28,0-100_VAS
blaireau,51.875,37.869,24,18.083,28.935,25,0-100_VAS
blanc,80.696,25.023,23,13.652,25.7,23,0-100_VAS
blason,57.16,33.029,24,15.792,29.858,24,0-100_VAS
blatte,54.44,41.897,24,14.458,18.782,24,0-100_VAS
blessure,70.304,28.009,24,42.478,35.679,24,0-100_VAS
blessé,72.957,29.878,24,44.739,38.38,24,0-100_VAS
blette,40.333,39.319,23,20.565,28.629,23,0-100_VAS
bleuet,90.63,11.862,25,7.385,19.98,26,0-100_VAS
blocage,51.217,31.435,23,25.458,29.837,23,0-100_VAS
blouse,80.821,22.912,25,4.269,10.243,27,0-100_VAS
blouson,72.333,26.795,24,11.833,24.138,24,0-100_VAS
blé,85.111,16.798,25,32.444,32.533,27,0-100_VAS
boa,79.375,27.132,24,29.478,35.596,24,0-100_VAS
bobine,69.48,26.632,24,14.375,18.874,24,0-100_VAS
boeuf,79.769,25.439,25,49.148,31.485,27,0-100_VAS
bois,84.278,15.639,22,36,26.786,20,0-100_VAS
bombarde,57.95,32.663,22,58.9,41.369,20,0-100_VAS
bombe,76.6,27.638,25,82.593,22.309,27,0-100_VAS
bon,52.583,36.296,25,24.615,37.285,26,0-100_VAS
bonbon,83.833,22.447,24,27,30.268,24,0-100_VAS
bonbonne,68.286,28.104,28,34.679,33.612,28,0-100_VAS
bond,64.083,37.739,24,37.087,38.101,24,0-100_VAS
bonheur,66.684,31.887,22,48,36.732,20,0-100_VAS
bonne,44.615,38.064,25,31.148,35.504,27,0-100_VAS
bonté,57.913,37.8,25,34.92,36.998,27,0-100_VAS
bonze,27.12,30.12,25,13,20.145,24,0-100_VAS
boomerang,68.565,31.775,23,29.304,29.343,24,0-100_VAS
bordereau,61.731,30.27,25,14.852,27.899,27,0-100_VAS
bordure,71.864,29.816,24,11.476,22.257,24,0-100_VAS
bordée,51.75,37.444,24,23.56,33.445,26,0-100_VAS
borne,59.917,34.122,25,16.08,22.299,25,0-100_VAS
bosquet,52.652,40.955,24,16.125,26.4,23,0-100_VAS
bottin,70.043,26.393,23,14.304,21.261,23,0-100_VAS
bottine,84.32,19.651,25,27.615,36.726,26,0-100_VAS
bouche,88.292,15.73,24,46.208,36.112,24,0-100_VAS
bouchée,71.652,29.948,24,39.167,37.905,24,0-100_VAS
boucle,84.68,17.988,25,24.28,32.842,26,0-100_VAS
boudin,65.448,33.006,28,19.536,29.206,28,0-100_VAS
bouge,71.208,34.494,25,34.5,35.893,27,0-100_VAS
bougie,90.917,17.788,25,20.731,32.244,26,0-100_VAS
bouilloire,80.889,20.07,28,75.429,27.13,28,0-100_VAS
boulanger,80.88,24.885,25,24.407,34.09,27,0-100_VAS
boulangerie,80.6,19.757,23,42.13,35.378,23,0-100_VAS
bouleau,78.04,27.139,24,28.44,33.247,25,0-100_VAS
boulet,67.536,31.421,25,34.222,36.6,27,0-100_VAS
boulette,70.08,29.127,24,22.68,32.387,25,0-100_VAS
boulevard,74.038,26.107,25,48.296,34.231,26,0-100_VAS
boulon,66.45,28.887,22,24.85,27.182,20,0-100_VAS
boulot,60.435,36.727,24,39.087,40.01,24,0-100_VAS
bouquet,80.379,21.091,28,19.5,25.004,29,0-100_VAS
bouquineur,47.391,38.443,24,9.083,20.472,24,0-100_VAS
bourde,27.231,33.925,25,19.926,27.389,26,0-100_VAS
bourdon,79.458,26.977,25,67.792,33.91,24,0-100_VAS
bourgeoisie,66.409,33.067,25,25.333,32.088,24,0-100_VAS
bourreau,53.167,38.846,25,29.208,29.451,24,0-100_VAS
bourse,75.655,22.784,28,36.536,40.781,29,0-100_VAS
bouse,46.464,41.825,25,11.692,23.329,26,0-100_VAS
bouseux,16.68,30.547,25,4.654,17.263,26,0-100_VAS
boussole,83.407,17.928,25,18.96,24.755,27,0-100_VAS
bout,54.478,34.27,23,17.261,28.39,23,0-100_VAS
boutade,20.263,29.145,20,26.85,36.276,20,0-100_VAS
boute-en-train,49.077,33.683,24,47.5,36.838,24,0-100_VAS
bouteille,86.172,15.476,25,40.037,26.61,27,0-100_VAS
boutique,79.857,25.592,24,30.55,35.654,24,0-100_VAS
bouton,82,22.932,28,27.143,33.151,29,0-100_VAS
boutonnière,49.958,32.845,25,9.333,21.157,24,0-100_VAS
boyau,70.679,24.212,25,32.654,29.034,27,0-100_VAS
boîtier,73.7,26.418,22,19.15,28.454,20,0-100_VAS
braise,77.773,29.252,24,44.429,39.825,24,0-100_VAS
branchage,61.65,35.409,20,24.35,23.145,20,0-100_VAS
branche,84.793,13.668,25,45.444,31.542,27,0-100_VAS
bras,85.286,17.732,28,21.821,30.037,29,0-100_VAS
brasier,68.654,30.316,25,50.593,35.25,27,0-100_VAS
bravoure,55.478,33.111,24,27.875,32.442,24,0-100_VAS
bretelle,77.485,15.655,24,23.52,30.813,25,0-100_VAS
bribe,26.69,27.934,25,19.654,30.346,26,0-100_VAS
brigade,53.5,37.03,24,24,27.442,24,0-100_VAS
brigadière,73.423,26.621,24,31.6,32.992,25,0-100_VAS
brindille,72.24,32.999,25,35.769,36.261,26,0-100_VAS
brioche,93.138,10.249,28,27.464,36.452,29,0-100_VAS
brique,80,26.2,25,26.148,30.271,27,0-100_VAS
brise,45.333,34.842,24,57.417,30.489,24,0-100_VAS
brocanteur,59,36.631,28,26.69,26.091,29,0-100_VAS
broche,65.421,31.987,20,22.25,29.299,20,0-100_VAS
brochet,56.931,34.713,28,14.607,20.775,29,0-100_VAS
brochette,87.536,13.113,28,25,31.854,29,0-100_VAS
brochure,73.87,28.13,24,18.043,23.225,24,0-100_VAS
brocoli,85.87,19.302,24,17.087,23.834,24,0-100_VAS
broderie,71.5,24.248,28,20.276,27.95,29,0-100_VAS
brosse,77.84,22.25,24,41.44,36.044,25,0-100_VAS
brosse à dents,87.667,14.318,23,59.583,31.283,23,0-100_VAS
brouette,78.964,31.106,25,39.556,34.78,27,0-100_VAS
brouillon,68.917,29.804,24,21.16,29.027,25,0-100_VAS
broussaille,60.5,29.904,25,23.074,26.976,26,0-100_VAS
bru,33.783,36.091,24,12.75,24.83,24,0-100_VAS
bruine,67.333,32.806,25,28.667,34.629,27,0-100_VAS
bruit,32.769,41.015,28,80.931,27.195,29,0-100_VAS
brutalité,68.586,31.881,25,56.37,33.222,27,0-100_VAS
brûleur,68.818,31.307,24,20.333,26.481,24,0-100_VAS
brûlure,79.609,26.741,23,29.174,32.007,23,0-100_VAS
buanderie,79.375,21.227,24,54.84,32.967,25,0-100_VAS
budget,55.4,37.362,20,23.05,31.309,20,0-100_VAS
bulbe,64.083,28.529,23,17.167,23.507,23,0-100_VAS
bulle,81.379,18.208,28,35.893,35.528,28,0-100_VAS
bureau,78.542,25.008,24,28,34.489,24,0-100_VAS
burin,33.32,34.023,24,21.292,28.519,24,0-100_VAS
butin,63.625,35.409,24,26.708,32.625,24,0-100_VAS
butor,14.7,28.977,20,22.4,35.587,20,0-100_VAS
