word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
harem,50.5,33.053,24,25.5,31.219,24,0-100_VAS
harmonica,56.792,32.983,24,85.958,20.586,24,0-100_VAS
harmonie,57.64,38.501,25,58.8,37.561,26,0-100_VAS
harnais,71.739,29.768,23,23.87,29.343,23,0-100_VAS
harpe,71.333,28.156,25,76.222,27.868,26,0-100_VAS
hasard,43.75,40.143,25,22.654,33.84,26,0-100_VAS
haussement,51.44,26.477,25,27.24,32.733,26,0-100_VAS
hautbois,47.593,37.881,25,50.185,39.479,26,0-100_VAS
herbe,82.2,21.071,25,26.296,32.951,27,0-100_VAS
hermine,34.87,35.011,24,11.25,18.683,24,0-100_VAS
hernie,50.826,33.715,24,20.5,29.671,24,0-100_VAS
herse,19.556,30.667,28,10.407,19.898,28,0-100_VAS
heurt,37.04,36.078,26,30.259,34.943,27,0-100_VAS
hibou,84.31,16.75,28,69.036,25.649,28,0-100_VAS
hic,27.08,35.468,24,30.542,32.534,24,0-100_VAS
hindouisme,58.154,28.963,25,32.148,30.446,27,0-100_VAS
hippocampe,80.385,17.618,27,21.259,29.105,27,0-100_VAS
hippopotame,78.542,19.902,24,27.833,30.187,24,0-100_VAS
hirondelle,79.25,20.962,26,52.192,33.212,26,0-100_VAS
histoire,54.043,35.335,24,42.24,41.2,25,0-100_VAS
historienne,40.75,33.867,23,34.13,34.091,23,0-100_VAS
historique,50,41.352,24,31,37.261,24,0-100_VAS
hiérarchie,61.759,29.896,28,25.75,32.442,28,0-100_VAS
hiéroglyphe,71.24,26.836,24,12.44,19.763,25,0-100_VAS
hochet,63.783,39.83,24,56.174,39.793,24,0-100_VAS
hockey,79.231,24.77,24,62.304,34.114,24,0-100_VAS
homard,81.385,21.698,27,29.111,31.127,27,0-100_VAS
hommage,64.364,33.695,24,45.286,35.915,24,0-100_VAS
honneur,53.292,37.11,25,37.37,36.221,27,0-100_VAS
honte,62.739,32.934,25,39,39.072,27,0-100_VAS
hoquet,45.304,36.619,23,70.917,36.444,23,0-100_VAS
horizon,83.44,29.113,24,21.609,32.075,24,0-100_VAS
horloge,86.417,18.012,23,67.348,23.096,23,0-100_VAS
hormone,36.593,33.789,26,25.407,29.057,27,0-100_VAS
horoscope,62.692,28.448,27,33,36.391,27,0-100_VAS
horreur,60.385,34.602,24,49.64,38.877,25,0-100_VAS
hostilité,46.75,35.891,20,41.1,39.159,20,0-100_VAS
hotdog,82.583,23.204,24,15.167,27.162,24,0-100_VAS
hotte,68.5,31.633,25,53.538,43.159,26,0-100_VAS
houille,19.5,29.912,25,13.462,25.976,27,0-100_VAS
huard,63.308,33.322,25,50.556,37.822,26,0-100_VAS
hublot,77.864,24.529,24,23.8,31.907,25,0-100_VAS
humanité,64.556,29.278,25,36,34.165,27,0-100_VAS
humeur,49.821,35.816,25,48.333,40.056,27,0-100_VAS
humiliation,59.85,34.21,20,55.35,37.337,20,0-100_VAS
humilité,31.714,32.998,28,21.964,29.205,28,0-100_VAS
humour,56.684,36.718,20,69.55,33.858,20,0-100_VAS
hune,15.24,26.953,25,11.963,22.591,27,0-100_VAS
hurlement,50.043,35.569,24,87.261,18.806,24,0-100_VAS
huée,30.87,32.715,23,59.783,39.372,23,0-100_VAS
huître,80.261,26.586,23,24.217,31.209,23,0-100_VAS
hypothèse,33.923,35.021,25,32.926,34.422,26,0-100_VAS
hyène,66.957,30.443,24,42.708,33.984,24,0-100_VAS
hâte,41.13,34.556,23,35.826,35.292,23,0-100_VAS
hébergement,66.292,31.276,25,27.231,31.123,27,0-100_VAS
hélice,81.571,24.784,28,61.444,35.913,28,0-100_VAS
hémisphère,69.64,25.487,24,23.667,30.562,24,0-100_VAS
hérisson,79.607,22.391,25,24.538,28.157,27,0-100_VAS
héritage,50.957,38.295,24,14.917,21.401,24,0-100_VAS
héritier,43.308,31.317,25,23.111,31.868,27,0-100_VAS
héros,81.731,24.942,25,42.889,42.422,27,0-100_VAS
hésitation,46.75,34.292,23,39.826,33.824,23,0-100_VAS
hêtre,32.652,33.203,23,13.739,26.516,23,0-100_VAS
hôpital,82.48,30.691,25,37.423,36.722,26,0-100_VAS
iceberg,83.684,14.53,20,22,32.465,20,0-100_VAS
identification,55.696,38.712,24,32.125,37.894,24,0-100_VAS
identité,48.083,39.849,25,18.115,30.41,26,0-100_VAS
